Actual_Class,Predicted_Class,Correct
1,1,True
2,2,True
1,1,True
0,0,True
1,1,True
0,0,True
0,0,True
1,1,True
0,0,True
0,0,True
1,1,True
0,0,True
1,1,True
0,0,True
1,1,True
0,0,True
1,1,True
1,1,True
1,1,True
1,1,True
1,1,True
1,1,True
2,2,True
0,0,True
2,2,True
0,0,True
0,0,True
2,2,True
2,2,True
0,0,True
2,2,True
1,1,True
1,1,True
0,0,True
1,1,True
0,0,True
0,0,True
0,0,True
2,2,True
0,0,True
0,0,True
0,0,True
1,1,True
1,1,True
0,0,True
2,2,True
1,1,True
2,2,True
1,1,True
1,1,True
0,0,True
0,0,True
0,0,True
2,2,True
2,2,True
0,0,True
2,2,True
0,0,True
2,2,True
0,0,True
0,0,True
1,1,True
0,0,True
2,2,True
1,1,True
1,1,True
1,1,True
0,0,True
1,1,True
2,2,True
1,1,True
1,1,True
2,2,True
2,2,True
1,2,False
1,1,True
1,1,True
2,2,True
0,0,True
2,2,True
1,1,True
2,2,True
2,2,True
1,1,True
1,1,True
2,2,True
1,1,True
1,1,True
1,1,True
2,2,True
1,1,True
0,0,True
2,2,True
1,1,True
0,0,True
0,0,True
1,1,True
1,1,True
0,0,True
1,1,True
1,1,True
1,1,True
1,1,True
0,0,True
0,0,True
0,0,True
2,2,True
1,1,True
2,2,True
1,1,True
2,2,True
2,2,True
2,2,True
2,1,False
2,2,True
1,1,True
1,1,True
0,0,True
2,2,True
1,1,True
1,1,True
0,0,True
2,1,False
0,0,True
2,2,True
0,0,True
2,2,True
2,2,True
1,1,True
0,0,True
0,0,True
2,1,False
0,0,True
1,1,True
0,0,True
2,2,True
1,1,True
2,2,True
1,1,True
0,0,True
1,1,True
0,0,True
1,1,True
1,1,True
0,0,True
1,1,True
2,2,True
0,0,True
2,2,True
0,0,True
2,2,True
0,0,True
1,1,True
1,1,True
1,1,True
1,1,True
2,2,True
1,1,True
2,2,True
1,1,True
2,2,True
1,1,True
0,0,True
0,0,True
1,1,True
2,2,True
1,1,True
1,1,True
1,2,False
2,2,True
2,2,True
1,1,True
1,1,True
0,0,True
1,1,True
1,1,True
1,2,False
2,2,True
0,0,True
1,1,True
0,0,True
0,0,True
1,1,True
1,1,True
0,0,True
2,2,True
1,1,True
0,0,True
2,2,True
1,1,True
1,1,True
0,0,True
0,0,True
1,1,True
1,1,True
1,1,True
0,0,True
0,0,True
1,1,True
2,2,True
2,1,False
1,1,True
0,0,True
0,0,True
0,0,True
2,2,True
0,0,True
2,2,True
0,0,True
0,0,True
1,1,True
1,1,True
1,1,True
2,2,True
0,0,True
1,1,True
2,2,True
2,2,True
2,2,True
1,1,True
1,1,True
0,0,True
1,1,True
1,1,True
0,0,True
0,0,True
0,0,True
1,1,True
0,0,True
2,2,True
0,0,True
2,1,False
1,1,True
2,2,True
0,0,True
0,0,True
0,0,True
1,1,True
2,2,True
2,2,True
0,0,True
1,1,True
1,1,True
2,2,True
0,0,True
2,2,True
2,2,True
2,2,True
0,0,True
1,1,True
0,0,True
0,0,True
0,0,True
1,1,True
1,1,True
2,2,True
1,1,True
2,2,True
0,0,True
2,2,True
1,1,True
0,0,True
0,0,True
2,2,True
0,0,True
1,1,True
0,0,True
1,1,True
2,2,True
0,0,True
0,0,True
2,2,True
0,0,True
2,2,True
0,0,True
0,0,True
0,0,True
2,2,True
1,1,True
0,0,True
2,2,True
1,1,True
2,2,True
0,0,True
1,1,True
1,1,True
0,0,True
1,1,True
2,2,True
0,0,True
0,0,True
0,0,True
2,2,True
0,0,True
0,0,True
2,2,True
2,2,True
1,1,True
1,1,True
2,2,True
2,2,True
2,2,True
1,1,True
2,2,True
0,0,True
0,0,True
2,2,True
1,1,True
1,1,True
1,1,True
2,2,True
0,0,True
2,2,True
2,1,False
2,2,True
1,1,True
2,2,True
2,1,False
1,1,True
0,0,True
2,2,True
2,2,True
2,2,True
2,2,True
2,2,True
2,2,True
1,1,True
0,0,True
2,2,True
1,1,True
2,2,True
0,0,True
0,0,True
0,0,True
0,0,True
1,1,True
1,1,True
1,1,True
2,2,True
1,1,True
2,2,True
0,0,True
2,2,True
0,0,True
0,0,True
2,2,True
1,1,True
0,0,True
2,2,True
1,1,True
2,2,True
0,0,True
2,2,True
0,0,True
1,1,True
1,1,True
1,1,True
0,0,True
2,2,True
2,2,True
1,1,True
2,2,True
2,2,True
0,0,True
0,0,True
2,2,True
1,1,True
0,0,True
0,0,True
1,1,True
0,0,True
0,0,True
2,2,True
1,1,True
1,1,True
1,1,True
2,2,True
1,1,True
1,1,True
2,2,True
2,2,True
2,2,True
2,2,True
2,2,True
0,0,True
2,1,False
2,2,True
2,2,True
1,1,True
2,2,True
2,2,True
0,0,True
0,0,True
2,2,True
1,1,True
1,1,True
0,0,True
0,0,True
0,0,True
0,0,True
2,2,True
1,1,True
2,2,True
1,1,True
2,2,True
2,2,True
2,2,True
0,0,True
2,2,True
1,1,True
1,1,True
1,1,True
2,2,True
1,1,True
0,0,True
2,2,True
2,2,True
0,0,True
2,2,True
2,2,True
1,1,True
0,0,True
0,0,True
1,1,True
2,2,True
2,2,True
0,0,True
2,2,True
1,1,True
1,1,True
0,0,True
2,2,True
0,0,True
2,2,True
0,0,True
1,1,True
0,0,True
2,2,True
2,2,True
1,1,True
2,2,True
1,1,True
1,1,True
1,1,True
2,2,True
0,0,True
1,1,True
0,0,True
0,0,True
1,1,True
0,0,True
2,2,True
1,1,True
0,0,True
2,2,True
1,1,True
0,0,True
2,2,True
1,1,True
2,2,True
2,2,True
0,0,True
0,0,True
1,1,True
2,2,True
0,0,True
2,2,True
2,2,True
2,2,True
1,1,True
0,0,True
2,2,True
1,1,True
2,2,True
2,2,True
0,0,True
2,2,True
1,1,True
0,0,True
1,1,True
1,1,True
1,1,True
0,0,True
1,1,True
0,0,True
2,2,True
2,2,True
2,2,True
0,0,True
0,0,True
2,2,True
0,0,True
2,2,True
0,0,True
0,0,True
0,0,True
1,1,True
0,0,True
0,0,True
1,1,True
1,1,True
1,1,True
1,1,True
1,1,True
1,1,True
1,1,True
1,1,True
2,2,True
1,1,True
2,2,True
2,2,True
0,0,True
0,0,True
1,2,False
0,0,True
2,2,True
1,1,True
2,2,True
0,0,True
2,2,True
1,1,True
2,2,True
1,1,True
0,0,True
0,0,True
0,0,True
2,2,True
1,1,True
2,2,True
2,2,True
0,0,True
1,1,True
0,0,True
2,2,True
0,0,True
2,2,True
2,2,True
0,0,True
2,2,True
2,2,True
0,0,True
0,0,True
2,2,True
0,0,True
1,1,True
2,2,True
1,1,True
2,2,True
2,2,True
2,2,True
2,2,True
0,0,True
0,0,True
1,1,True
0,0,True
2,2,True
1,1,True
1,1,True
0,0,True
2,2,True
0,0,True
0,0,True
1,1,True
2,2,True
0,0,True
2,2,True
1,1,True
1,1,True
0,0,True
1,1,True
1,1,True
2,2,True
1,2,False
1,1,True
2,2,True
1,1,True
2,2,True
2,2,True
0,0,True
0,0,True
1,1,True
2,2,True
0,0,True
1,1,True
2,2,True
0,0,True
1,1,True
1,1,True
1,1,True
2,2,True
1,1,True
0,0,True
0,0,True
2,2,True
0,0,True
0,0,True
2,2,True
0,0,True
0,0,True
1,1,True
1,1,True
1,1,True
2,2,True
0,0,True
1,1,True
2,2,True
2,2,True
2,2,True
2,2,True
1,1,True
2,2,True
1,1,True
1,1,True
0,0,True
2,2,True
2,2,True
0,0,True
0,0,True
1,1,True
2,2,True
1,1,True
0,0,True
0,0,True
0,0,True
2,2,True
2,2,True
0,0,True
2,2,True
1,1,True
1,1,True
0,0,True
0,0,True
2,2,True
0,0,True
1,1,True
0,0,True
2,2,True
1,1,True
0,0,True
0,0,True
0,0,True
1,2,False
1,1,True
2,2,True
0,0,True
2,2,True
2,2,True
2,2,True
0,0,True
1,1,True
0,0,True
1,1,True
0,0,True
0,0,True
1,1,True
2,2,True
2,2,True
1,1,True
2,2,True
0,0,True
0,0,True
2,2,True
2,2,True
1,1,True
0,0,True
0,0,True
1,1,True
0,0,True
0,0,True
2,2,True
0,0,True
1,1,True
0,0,True
2,2,True
2,2,True
1,1,True
1,1,True
2,2,True
1,1,True
1,1,True
2,2,True
2,0,False
1,1,True
2,2,True
1,1,True
2,2,True
1,1,True
1,1,True
1,1,True
2,2,True
0,0,True
2,2,True
2,2,True
2,2,True
0,0,True
1,1,True
2,2,True
1,1,True
1,1,True
0,0,True
1,1,True
0,0,True
2,1,False
0,0,True
2,2,True
1,1,True
0,0,True
2,2,True
2,2,True
1,1,True
1,1,True
0,0,True
2,2,True
2,2,True
2,2,True
2,2,True
1,1,True
1,1,True
2,2,True
1,1,True
0,0,True
1,1,True
0,0,True
1,1,True
0,0,True
2,2,True
2,2,True
0,0,True
0,0,True
1,1,True
1,1,True
1,1,True
2,2,True
2,2,True
2,2,True
0,0,True
2,2,True
0,0,True
2,2,True
1,1,True
1,1,True
0,0,True
0,0,True
1,1,True
1,1,True
1,1,True
2,2,True
2,2,True
1,1,True
1,1,True
0,0,True
1,1,True
2,2,True
1,1,True
2,1,False
2,2,True
0,0,True
0,0,True
1,1,True
0,0,True
1,1,True
1,1,True
1,1,True
2,2,True
0,0,True
2,2,True
0,0,True
0,0,True
1,1,True
1,1,True
2,2,True
1,1,True
2,2,True
0,0,True
1,1,True
1,1,True
2,2,True
2,2,True
0,0,True
2,1,False
1,1,True
2,2,True
2,2,True
2,2,True
0,0,True
2,2,True
0,0,True
0,0,True
1,1,True
0,0,True
2,2,True
0,0,True
2,2,True
2,2,True
1,1,True
1,1,True
2,2,True
2,2,True
1,1,True
0,0,True
1,1,True
2,2,True
1,1,True
2,2,True
2,2,True
1,1,True
0,0,True
1,1,True
2,1,False
0,0,True
2,2,True
1,1,True
0,0,True
2,2,True
2,2,True
2,2,True
1,1,True
0,0,True
0,0,True
0,0,True
2,2,True
0,0,True
1,1,True
1,1,True
1,1,True
2,2,True
0,0,True
0,0,True
0,0,True
2,2,True
2,2,True
0,0,True
1,1,True
2,2,True
2,2,True
1,1,True
1,1,True
0,0,True
1,1,True
2,2,True
1,1,True
1,2,False
0,0,True
1,1,True
1,1,True
1,1,True
0,0,True
2,2,True
0,0,True
2,2,True
2,2,True
0,0,True
1,1,True
0,0,True
1,1,True
1,1,True
0,0,True
1,2,False
1,1,True
0,0,True
0,0,True
1,1,True
0,0,True
1,1,True
1,1,True
1,1,True
1,1,True
2,2,True
1,1,True
1,1,True
2,2,True
2,2,True
0,0,True
1,1,True
2,2,True
0,0,True
2,2,True
2,2,True
2,2,True
2,2,True
0,0,True
0,0,True
0,0,True
1,1,True
2,2,True
1,1,True
0,0,True
1,1,True
2,2,True
2,1,False
0,0,True
0,0,True
0,0,True
1,1,True
2,2,True
2,2,True
2,2,True
1,1,True
1,1,True
2,2,True
2,2,True
0,0,True
1,1,True
2,2,True
0,0,True
1,1,True
1,1,True
2,2,True
1,1,True
0,0,True
1,1,True
1,1,True
2,2,True
0,0,True
1,1,True
2,2,True
1,1,True
1,1,True
0,0,True
1,1,True
2,2,True
2,2,True
2,2,True
2,2,True
2,2,True
0,0,True
0,0,True
2,2,True
0,0,True
1,1,True
2,2,True
1,1,True
2,2,True
0,0,True
1,1,True
1,1,True
0,0,True
2,2,True
0,0,True
1,1,True
1,1,True
1,1,True
0,0,True
2,2,True
0,0,True
1,1,True
2,2,True
0,0,True
2,2,True
1,1,True
0,0,True
1,1,True
0,0,True
1,1,True
2,2,True
0,0,True
0,0,True
1,1,True
1,1,True
0,0,True
1,1,True
0,0,True
0,0,True
2,2,True
1,1,True
0,0,True
0,0,True
1,1,True
2,2,True
1,1,True
0,0,True
2,2,True
0,0,True
2,2,True
0,0,True
1,1,True
2,2,True
2,2,True
2,2,True
1,1,True
0,0,True
0,0,True
2,2,True
1,1,True
2,2,True
2,2,True
1,1,True
1,1,True
1,1,True
0,0,True
1,1,True
0,0,True
2,2,True
0,0,True
2,2,True
2,2,True
1,1,True
0,0,True
2,2,True
2,2,True
1,1,True
1,1,True
2,2,True
0,0,True
0,0,True
0,0,True
0,0,True
0,0,True
0,0,True
2,2,True
2,2,True
0,0,True
1,1,True
1,1,True
2,2,True
2,2,True
1,1,True
2,2,True
1,1,True
1,1,True
2,2,True
2,2,True
0,0,True
0,0,True
1,1,True
2,2,True
1,1,True
0,0,True
0,0,True
0,0,True
1,1,True
1,1,True
2,1,False
0,0,True
2,2,True
1,1,True
1,1,True
0,0,True
1,1,True
2,2,True
2,2,True
1,1,True
0,0,True
1,1,True
1,1,True
2,2,True
1,1,True
2,2,True
2,2,True
1,1,True
0,0,True
2,2,True
2,2,True
0,0,True
1,1,True
0,0,True
1,1,True
0,0,True
1,1,True
2,2,True
0,0,True
1,1,True
1,1,True
0,0,True
0,0,True
1,1,True
2,2,True
1,1,True
1,1,True
0,0,True
1,1,True
0,0,True
1,1,True
1,1,True
0,0,True
2,2,True
0,0,True
2,1,False
2,2,True
0,0,True
0,0,True
1,1,True
2,2,True
2,2,True
0,0,True
2,2,True
0,0,True
0,0,True
1,1,True
2,2,True
0,0,True
1,1,True
2,1,False
1,1,True
2,2,True
0,0,True
2,2,True
1,1,True
1,1,True
2,2,True
1,1,True
1,1,True
0,0,True
0,0,True
2,2,True
2,1,False
1,1,True
2,2,True
0,0,True
1,1,True
2,2,True
2,2,True
0,0,True
2,2,True
0,0,True
1,1,True
0,0,True
0,0,True
1,1,True
2,2,True
0,0,True
1,1,True
2,2,True
1,1,True
2,2,True
0,0,True
0,0,True
2,2,True
0,0,True
0,0,True
1,1,True
2,2,True
1,1,True
1,1,True
0,0,True
1,1,True
2,2,True
0,0,True
0,0,True
1,1,True
1,1,True
2,1,False
0,0,True
2,2,True
1,1,True
0,0,True
0,0,True
0,0,True
1,1,True
2,2,True
2,2,True
1,1,True
1,1,True
0,0,True
0,0,True
2,2,True
0,0,True
2,2,True
2,2,True
2,2,True
1,1,True
2,1,False
0,0,True
1,1,True
0,0,True
1,1,True
2,2,True
1,1,True
0,0,True
0,0,True
2,2,True
1,1,True
2,2,True
0,0,True
0,0,True
1,1,True
0,0,True
0,0,True
0,0,True
1,1,True
0,0,True
1,1,True
2,2,True
0,0,True
0,0,True
1,1,True
0,0,True
0,0,True
1,1,True
0,0,True
0,0,True
2,2,True
1,1,True
2,2,True
2,2,True
2,2,True
1,1,True
1,1,True
2,2,True
0,0,True
0,0,True
0,0,True
0,0,True
0,0,True
2,2,True
0,0,True
1,1,True
1,1,True
2,2,True
0,0,True
0,0,True
0,0,True
2,2,True
2,2,True
1,1,True
2,2,True
2,2,True
0,0,True
2,2,True
0,0,True
0,0,True
0,0,True
1,1,True
1,1,True
2,2,True
0,0,True
1,1,True
2,2,True
2,2,True
0,0,True
1,1,True
0,0,True
2,2,True
1,1,True
0,0,True
0,0,True
2,2,True
1,1,True
1,1,True
0,0,True
1,1,True
1,1,True
1,1,True
0,0,True
2,2,True
0,0,True
0,0,True
0,0,True
1,2,False
0,0,True
1,1,True
0,0,True
1,1,True
0,0,True
0,0,True
1,1,True
0,0,True
0,0,True
1,1,True
0,0,True
1,1,True
2,2,True
2,2,True
2,2,True
1,1,True
1,1,True
1,1,True
1,1,True
1,1,True
2,2,True
2,2,True
1,1,True
2,2,True
2,2,True
1,1,True
2,2,True
0,0,True
1,1,True
0,0,True
1,1,True
1,1,True
1,1,True
0,0,True
1,1,True
0,0,True
1,1,True
2,2,True
1,1,True
0,0,True
1,1,True
1,1,True
1,1,True
1,1,True
1,1,True
0,0,True
2,2,True
0,0,True
0,0,True
2,2,True
0,0,True
1,1,True
2,2,True
1,1,True
2,2,True
2,2,True
1,1,True
2,2,True
2,2,True
0,0,True
1,1,True
2,2,True
2,2,True
0,0,True
1,1,True
1,1,True
0,0,True
2,2,True
0,0,True
1,1,True
0,0,True
2,2,True
2,2,True
2,2,True
2,2,True
1,1,True
2,2,True
1,1,True
0,0,True
0,0,True
0,0,True
1,1,True
1,1,True
0,0,True
2,2,True
0,0,True
1,1,True
0,0,True
2,2,True
2,2,True
1,1,True
2,2,True
2,2,True
1,1,True
1,1,True
1,1,True
1,1,True
0,0,True
1,1,True
2,2,True
0,0,True
0,0,True
2,2,True
2,2,True
2,2,True
1,1,True
2,2,True
0,0,True
0,0,True
0,0,True
0,0,True
1,1,True
1,1,True
2,2,True
1,1,True
2,2,True
0,0,True
2,2,True
1,1,True
2,2,True
2,2,True
0,0,True
1,1,True
0,0,True
0,0,True
0,0,True
2,2,True
2,2,True
0,0,True
2,2,True
1,1,True
2,2,True
0,0,True
1,1,True
0,0,True
2,2,True
0,0,True
2,2,True
1,1,True
1,1,True
2,2,True
0,0,True
0,0,True
2,2,True
1,1,True
1,1,True
1,1,True
0,0,True
0,0,True
2,2,True
1,1,True
1,1,True
1,1,True
0,0,True
2,2,True
2,2,True
0,0,True
2,2,True
2,2,True
0,0,True
1,1,True
1,1,True
1,1,True
1,1,True
1,1,True
0,0,True
2,2,True
1,1,True
1,1,True
2,2,True
2,2,True
1,1,True
2,2,True
2,2,True
1,1,True
0,0,True
0,0,True
1,1,True
1,1,True
1,1,True
0,0,True
0,0,True
1,1,True
0,0,True
2,2,True
0,0,True
2,2,True
0,0,True
1,1,True
0,0,True
0,0,True
0,0,True
0,0,True
2,2,True
1,1,True
1,1,True
2,2,True
2,2,True
1,1,True
2,2,True
2,2,True
0,0,True
0,0,True
2,2,True
0,0,True
1,1,True
1,1,True
2,2,True
0,0,True
1,1,True
0,0,True
0,0,True
2,2,True
2,2,True
1,1,True
1,1,True
1,1,True
1,1,True
0,0,True
0,0,True
1,1,True
1,1,True
0,0,True
1,1,True
0,0,True
2,2,True
0,0,True
1,1,True
0,0,True
0,0,True
2,2,True
2,2,True
2,2,True
0,0,True
2,0,False
2,2,True
2,2,True
1,1,True
0,0,True
2,2,True
0,0,True
2,2,True
0,0,True
0,0,True
0,0,True
1,1,True
0,0,True
1,1,True
2,2,True
2,2,True
0,0,True
2,2,True
1,1,True
0,0,True
1,1,True
2,2,True
2,2,True
0,0,True
1,1,True
0,0,True
2,2,True
0,0,True
2,2,True
1,1,True
2,2,True
0,0,True
0,0,True
2,2,True
2,2,True
0,0,True
0,0,True
0,0,True
1,1,True
1,1,True
1,1,True
0,0,True
1,1,True
1,1,True
1,1,True
1,1,True
0,0,True
0,0,True
1,1,True
2,2,True
0,0,True
0,0,True
1,1,True
0,0,True
0,0,True
0,0,True
2,2,True
2,1,False
1,1,True
2,2,True
2,2,True
1,1,True
2,2,True
2,2,True
0,0,True
1,1,True
1,1,True
2,2,True
1,1,True
0,0,True
2,2,True
2,2,True
1,1,True
2,1,False
0,0,True
1,1,True
2,2,True
1,1,True
0,0,True
1,1,True
0,0,True
2,2,True
0,0,True
1,1,True
0,0,True
0,0,True
1,1,True
1,1,True
1,1,True
2,2,True
0,0,True
1,2,False
1,1,True
1,1,True
1,1,True
2,2,True
2,2,True
2,2,True
2,2,True
2,2,True
0,0,True
2,2,True
1,1,True
1,1,True
2,2,True
1,1,True
1,1,True
1,1,True
0,0,True
0,0,True
0,0,True
0,0,True
2,2,True
2,2,True
2,2,True
2,2,True
1,1,True
0,0,True
2,2,True
0,0,True
2,2,True
2,2,True
0,0,True
2,2,True
2,2,True
2,2,True
1,1,True
2,2,True
2,2,True
1,1,True
1,1,True
2,2,True
1,1,True
1,1,True
0,0,True
1,1,True
2,2,True
1,1,True
2,2,True
1,1,True
2,2,True
0,0,True
0,0,True
0,0,True
0,0,True
0,0,True
1,1,True
2,2,True
1,1,True
1,1,True
2,2,True
0,0,True
1,1,True
1,1,True
1,1,True
2,2,True
2,2,True
0,0,True
1,1,True
0,0,True
1,1,True
1,2,False
0,0,True
2,2,True
1,1,True
2,2,True
2,2,True
0,0,True
0,0,True
0,0,True
0,0,True
0,0,True
0,0,True
1,1,True
1,1,True
2,2,True
1,1,True
0,0,True
1,1,True
2,2,True
0,0,True
2,2,True
1,1,True
1,1,True
1,1,True
2,2,True
2,2,True
1,1,True
1,1,True
0,0,True
0,0,True
2,2,True
2,2,True
2,2,True
2,2,True
1,1,True
0,0,True
1,1,True
0,0,True
0,0,True
0,0,True
0,0,True
2,2,True
2,2,True
1,1,True
0,0,True
1,1,True
2,2,True
1,1,True
2,2,True
1,1,True
0,0,True
2,2,True
2,2,True
0,0,True
0,0,True
0,0,True
0,0,True
1,1,True
2,2,True
2,2,True
2,2,True
0,0,True
1,1,True
2,2,True
0,0,True
2,2,True
1,1,True
0,0,True
1,1,True
2,2,True
0,0,True
1,1,True
2,2,True
0,0,True
1,1,True
1,1,True
2,1,False
0,0,True
0,0,True
1,1,True
2,1,False
0,0,True
1,1,True
2,2,True
0,0,True
0,0,True
0,0,True
1,1,True
1,1,True
2,2,True
2,2,True
1,1,True
0,0,True
1,1,True
1,1,True
1,1,True
2,2,True
2,2,True
0,0,True
0,0,True
1,1,True
2,2,True
1,1,True
0,0,True
0,0,True
0,0,True
2,2,True
1,1,True
2,2,True
0,0,True
2,2,True
1,1,True
0,0,True
1,1,True
1,1,True
2,2,True
2,2,True
2,2,True
1,1,True
1,1,True
2,2,True
1,1,True
1,1,True
2,2,True
2,2,True
1,1,True
2,2,True
0,0,True
2,2,True
1,1,True
1,1,True
2,2,True
0,0,True
0,0,True
0,0,True
1,1,True
2,2,True
2,2,True
1,1,True
2,2,True
0,0,True
1,1,True
2,2,True
1,1,True
0,0,True
1,1,True
0,0,True
1,1,True
0,0,True
1,1,True
0,0,True
1,1,True
2,2,True
0,0,True
2,2,True
0,0,True
2,2,True
2,2,True
2,2,True
1,1,True
2,2,True
0,0,True
2,2,True
2,2,True
1,1,True
1,1,True
0,0,True
1,1,True
1,1,True
2,2,True
2,2,True
2,2,True
2,2,True
1,1,True
2,2,True
0,0,True
2,2,True
0,0,True
0,0,True
2,2,True
2,2,True
2,2,True
0,0,True
1,1,True
2,2,True
1,1,True
1,1,True
2,2,True
1,1,True
1,1,True
1,1,True
2,2,True
0,0,True
2,2,True
1,1,True
1,1,True
2,2,True
0,0,True
2,2,True
1,1,True
0,0,True
1,1,True
1,1,True
0,0,True
2,2,True
2,2,True
0,0,True
0,0,True
0,0,True
0,0,True
1,1,True
2,2,True
1,1,True
0,0,True
0,0,True
1,1,True
0,0,True
1,1,True
1,1,True
2,2,True
1,1,True
0,0,True
1,1,True
1,1,True
1,1,True
0,0,True
0,0,True
0,0,True
1,1,True
2,2,True
0,0,True
1,1,True
1,1,True
2,2,True
2,2,True
0,0,True
0,0,True
1,1,True
0,0,True
1,1,True
1,2,False
2,2,True
0,0,True
0,0,True
2,2,True
1,1,True
0,0,True
1,1,True
1,1,True
1,1,True
1,1,True
0,0,True
0,0,True
1,1,True
0,0,True
1,1,True
2,2,True
1,1,True
0,0,True
0,0,True
0,0,True
1,1,True
2,2,True
2,2,True
2,2,True
1,1,True
1,1,True
0,0,True
2,2,True
2,2,True
1,1,True
1,1,True
1,1,True
0,0,True
2,2,True
2,2,True
0,0,True
1,1,True
2,2,True
0,0,True
1,1,True
2,2,True
0,0,True
2,2,True
1,1,True
1,1,True
0,0,True
0,0,True
1,1,True
1,1,True
2,2,True
1,1,True
0,0,True
1,1,True
1,1,True
0,0,True
2,2,True
0,0,True
1,1,True
2,2,True
0,0,True
0,0,True
2,1,False
2,2,True
1,1,True
2,2,True
2,2,True
2,2,True
0,0,True
0,0,True
2,2,True
0,0,True
0,0,True
0,0,True
1,1,True
1,1,True
0,0,True
2,2,True
2,2,True
2,2,True
0,0,True
1,1,True
0,0,True
2,2,True
0,0,True
0,0,True
2,2,True
1,1,True
2,2,True
1,1,True
2,2,True
0,0,True
1,1,True
2,2,True
1,1,True
1,1,True
2,2,True
1,1,True
0,2,False
1,1,True
1,1,True
0,0,True
2,2,True
0,0,True
0,0,True
0,0,True
1,1,True
0,0,True
2,2,True
2,2,True
2,2,True
0,0,True
0,0,True
1,1,True
1,1,True
2,2,True
1,1,True
2,2,True
2,2,True
2,2,True
0,0,True
0,0,True
0,0,True
0,0,True
1,1,True
0,0,True
2,2,True
1,1,True
2,2,True
0,0,True
1,1,True
1,1,True
2,2,True
1,1,True
1,1,True
1,1,True
2,2,True
0,0,True
1,1,True
1,1,True
1,1,True
0,0,True
0,0,True
0,0,True
2,2,True
1,1,True
0,0,True
1,1,True
1,1,True
2,2,True
0,0,True
0,0,True
2,2,True
0,0,True
2,2,True
2,2,True
2,2,True
0,0,True
0,0,True
0,0,True
0,0,True
1,1,True
2,2,True
0,0,True
2,2,True
2,2,True
2,2,True
0,0,True
0,0,True
2,0,False
0,0,True
1,1,True
1,1,True
0,0,True
2,2,True
2,2,True
1,1,True
2,2,True
2,2,True
0,0,True
2,2,True
1,1,True
2,2,True
0,0,True
1,1,True
0,0,True
2,2,True
0,0,True
2,2,True
2,2,True
0,0,True
2,2,True
1,1,True
2,2,True
0,0,True
2,2,True
1,1,True
2,2,True
2,2,True
2,2,True
1,1,True
2,2,True
2,2,True
0,0,True
2,2,True
1,1,True
2,2,True
1,1,True
1,1,True
1,1,True
2,2,True
2,2,True
2,2,True
0,0,True
2,2,True
2,1,False
2,2,True
2,2,True
1,1,True
0,0,True
1,1,True
1,1,True
1,1,True
2,2,True
2,2,True
1,1,True
0,0,True
2,2,True
2,2,True
1,1,True
1,1,True
0,0,True
0,0,True
0,0,True
0,0,True
1,1,True
1,1,True
2,2,True
1,1,True
1,1,True
0,0,True
0,0,True
0,0,True
2,2,True
1,1,True
2,2,True
2,2,True
0,0,True
0,0,True
1,1,True
2,2,True
0,0,True
1,1,True
1,1,True
0,0,True
2,2,True
1,1,True
0,0,True
2,2,True
1,1,True
0,0,True
0,0,True
1,1,True
0,0,True
0,0,True
2,2,True
0,0,True
0,0,True
0,0,True
2,2,True
1,1,True
2,2,True
2,2,True
1,1,True
1,1,True
2,2,True
2,2,True
2,2,True
1,1,True
0,0,True
1,1,True
2,2,True
2,2,True
1,1,True
0,0,True
0,0,True
2,2,True
1,1,True
1,1,True
0,0,True
2,2,True
2,2,True
1,1,True
0,0,True
2,2,True
1,1,True
2,2,True
0,0,True
1,1,True
1,1,True
2,2,True
0,0,True
1,1,True
2,2,True
0,0,True
0,0,True
2,2,True
1,1,True
0,0,True
0,0,True
2,2,True
2,2,True
2,2,True
0,0,True
2,2,True
0,0,True
1,1,True
0,0,True
0,0,True
2,2,True
0,0,True
2,2,True
1,1,True
1,1,True
0,0,True
1,1,True
2,2,True
2,2,True
0,0,True
2,2,True
2,2,True
2,2,True
2,2,True
2,2,True
2,2,True
0,0,True
0,0,True
2,2,True
2,2,True
0,0,True
0,0,True
0,0,True
2,2,True
2,2,True
0,0,True
1,1,True
1,1,True
2,2,True
1,1,True
1,1,True
0,0,True
1,1,True
2,2,True
2,2,True
0,0,True
2,2,True
2,2,True
1,1,True
2,2,True
1,1,True
0,0,True
1,1,True
2,2,True
1,1,True
2,2,True
1,1,True
2,2,True
2,2,True
2,2,True
0,0,True
0,0,True
2,2,True
0,0,True
1,1,True
0,0,True
2,2,True
1,1,True
1,1,True
2,2,True
0,0,True
2,2,True
0,0,True
1,1,True
1,1,True
1,1,True
0,0,True
2,2,True
1,1,True
2,2,True
1,1,True
0,0,True
2,2,True
1,1,True
1,1,True
1,1,True
0,0,True
0,0,True
0,0,True
2,2,True
1,1,True
0,0,True
1,1,True
2,1,False
0,0,True
0,0,True
0,0,True
1,1,True
1,1,True
1,1,True
0,0,True
2,2,True
1,1,True
1,1,True
0,0,True
1,1,True
1,1,True
2,2,True
1,1,True
0,0,True
0,0,True
2,2,True
2,2,True
1,1,True
2,2,True
1,1,True
0,0,True
1,1,True
2,2,True
2,2,True
1,1,True
2,2,True
1,1,True
1,1,True
0,0,True
1,1,True
2,2,True
0,0,True
0,0,True
1,1,True
2,2,True
0,0,True
0,0,True
1,1,True
0,0,True
2,2,True
1,1,True
